"Language","original","english","czech","german","russian","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"mck_action_assign","Assign new key","Assign new key","Assign new key","Neuen Schlüssel zuweisen","Назначить новый ключ","Assign new key","Assign new key","Assign new key","Assign new key","Assign new key","Assign new key","Assign new key","Assign new key",
"mck_action_craft","Craft vehicle key","Craft vehicle key","Craft vehicle key","Autoschlüssel herstellen","Создать ключ от машины","Craft vehicle key","Craft vehicle key","Craft vehicle key","Craft vehicle key","Craft vehicle key","Craft vehicle key","Craft vehicle key","Craft vehicle key",
"mck_action_duplicate","Duplicate key","Duplicate key","Duplicate key","Schlüssel nachmachen","Создать дубликат ключа","Duplicate key","Duplicate key","Duplicate key","Duplicate key","Duplicate key","Duplicate key","Duplicate key","Duplicate key",
"mck_action_getinfo","Get Info","Get Info","Get Info","Infos bekommen","Получить данные","Get Info","Get Info","Get Info","Get Info","Get Info","Get Info","Get Info","Get Info",
"mck_action_raid","Pick Lock","Pick Lock","Pick Lock","Schloss knacken","Взлом замка","Pick Lock","Pick Lock","Pick Lock","Pick Lock","Pick Lock","Pick Lock","Pick Lock","Pick Lock",
"mck_action_resetkey","Reset key","Reset key","Reset key","Schlüssel zurücksetzen","Сбросить ключ","Reset key","Reset key","Reset key","Reset key","Reset key","Reset key","Reset key","Reset key",
"mck_action_lock","Lock","Lock","Lock","Lock","Lock","Lock","Lock","Lock","Lock","Lock","Lock","Lock","Lock",
"mck_name_keypouch","Key Pouch","Key Pouch","Key Pouch","Key Pouch","Key Pouch","Key Pouch","Key Pouch","Key Pouch","Key Pouch","Key Pouch","Key Pouch","Key Pouch","Key Pouch",
"mck_description_keypouch","A pouch to hold a couple keys and tags. You can use the key directly from pouch.","A pouch to hold a couple keys and tags. You can use the key directly from pouch.","A pouch to hold a couple keys and tags. You can use the key directly from pouch.","A pouch to hold a couple keys and tags. You can use the key directly from pouch.","A pouch to hold a couple keys and tags. You can use the key directly from pouch.","A pouch to hold a couple keys and tags. You can use the key directly from pouch.","A pouch to hold a couple keys and tags. You can use the key directly from pouch.","A pouch to hold a couple keys and tags. You can use the key directly from pouch.","A pouch to hold a couple keys and tags. You can use the key directly from pouch.","A pouch to hold a couple keys and tags. You can use the key directly from pouch.","A pouch to hold a couple keys and tags. You can use the key directly from pouch.","A pouch to hold a couple keys and tags. You can use the key directly from pouch.","A pouch to hold a couple keys and tags. You can use the key directly from pouch.",
"mck_action_duplicate_error","Key not assigned. Assign key before trying to duplicate.","Key not assigned. Assign key before trying to duplicate.","Key not assigned. Assign key before trying to duplicate.","Key not assigned. Assign key before trying to duplicate.","Key not assigned. Assign key before trying to duplicate.","Key not assigned. Assign key before trying to duplicate.","Key not assigned. Assign key before trying to duplicate.","Key not assigned. Assign key before trying to duplicate.","Key not assigned. Assign key before trying to duplicate.","Key not assigned. Assign key before trying to duplicate.","Key not assigned. Assign key before trying to duplicate.","Key not assigned. Assign key before trying to duplicate.","Key not assigned. Assign key before trying to duplicate."
